Id,SalePrice
1461,126838.65534604568
1462,160274.49215701138
1463,179622.77327783676
1464,190412.26256291097
1465,192982.28355702953
1466,170578.63040518106
1467,175748.3973304486
1468,168326.86810044915
1469,184741.76660096343
1470,122756.34304473447
1471,197527.81622530008
1472,98871.24852874575
1473,96983.0115794505
1474,148715.58907942794
1475,120336.8643153938
1476,355752.48827217735
1477,252392.9211278863
1478,289123.9130267481
1479,276075.2012660491
1480,533348.1467623995
1481,325636.7865632545
1482,206887.7498648737
1483,172681.50372665265
1484,166177.65048184944
1485,183256.06922638958
1486,194574.61284748907
1487,333166.963744318
1488,240174.69351876617
1489,199824.99072776525
1490,225778.54487303336
1491,193264.74852857215
1492,91278.26236007623
1493,183579.52276435334
1494,283663.1444102637
1495,274861.45204593346
1496,235287.49562443528
1497,176684.74551899068
1498,166242.48657149507
1499,162882.51229199665
1500,159865.95897107697
1501,180020.69124495814
1502,150577.85346040703
1503,281210.6834748066
1504,240550.95317706204
1505,227677.7567083701
1506,178521.22431931732
1507,242441.12855346108
1508,199104.5745638235
1509,156311.33542024987
1510,147701.69131950097
1511,149372.21425285988
1512,169044.6779207869
1513,139033.27637423557
1514,161481.50164908727
1515,183437.49498037103
1516,156922.3265623941
1517,162283.9453459392
1518,131291.14549684458
1519,218908.85228359772
1520,134050.2902762805
1521,133144.75182430554
1522,169790.80539857617
1523,114700.11860569006
1524,123998.41681390301
1525,125034.72297926237
1526,119431.42315837758
1527,105750.62909694373
1528,139095.67437156677
1529,148985.79738521596
1530,179313.1593773817
1531,113122.36064955773
1532,96476.04332145462
1533,146954.1076806567
1534,122001.70352760705
1535,150355.5126732033
1536,116492.15576522991
1537,68179.45028553173
1538,166304.8951882505
1539,196551.41237115723
1540,97500.3108007848
1541,140446.53535338366
1542,137429.28783295755
1543,207767.79587446453
1544,84280.01025195247
1545,108987.00075177869
1546,131500.2400678444
1547,136865.8753657911
1548,134140.74625144378
1549,115215.67530962356
1550,133890.8134069157
1551,107889.17994585482
1552,138893.3653207973
1553,150656.81982850164
1554,118887.28927587587
1555,166683.03633105184
1556,88275.24107064195
1557,102346.60111945908
1558,94451.16773639825
1559,89838.46948082517
1560,133837.16423107442
1561,134877.7778090173
1562,131311.05835212814
1563,124754.39848767285
1564,160818.46838905627
1565,147243.34846485886
1566,240207.82426478283
1567,73726.91924156754
1568,231543.33441732763
1569,137350.95796396708
1570,139912.71675428166
1571,117109.63625496144
1572,142913.47489731034
1573,232039.12294896168
1574,119782.3024425608
1575,227524.06450993457
1576,243078.97485491456
1577,189112.75088868366
1578,138282.52270259304
1579,145041.4097407708
1580,189709.64598229466
1581,153662.4433546367
1582,128054.92268333849
1583,310797.6249078892
1584,225820.59169702683
1585,141431.77941992585
1586,65441.81117946428
1587,102750.93872832251
1588,152465.8788062585
1589,98692.76261660414
1590,134925.6770258958
1591,97105.43464599371
1592,120666.55601890049
1593,124362.47111067806
1594,122760.28098633939
1595,109034.3538594675
1596,230727.2270313721
1597,184865.87938485513
1598,200035.25812905436
1599,165577.1757332026
1600,162574.1521316947
1601,61617.323150144235
1602,116723.37377474342
1603,90288.91422810947
1604,263446.3684634261
1605,240138.7592665963
1606,162804.23667981286
1607,164349.15774507154
1608,214503.2325444706
1609,178196.7990202594
1610,149317.37156131398
1611,138802.24687139608
1612,169991.67321694334
1613,165554.53859598382
1614,124883.91057997932
1615,89898.970580203
1616,77486.41637423025
1617,90390.44527835851
1618,126730.48351805082
1619,139975.7052536802
1620,158039.3475681759
1621,133843.62243636668
1622,138775.95502863982
1623,268668.34270887927
1624,207379.21182945676
1625,117539.80626074076
1626,161543.9556074395
1627,190336.31573127763
1628,278506.1082633752
1629,174821.90386313343
1630,361560.97738798277
1631,213511.28378778655
1632,231167.2295156713
1633,170427.44598165728
1634,185818.48011996914
