,Id,SalePrice
0,1461,127063.5613651585
1,1462,162164.7834330109
2,1463,179680.11391912375
3,1464,194268.94774945956
4,1465,192853.26058418048
5,1466,168167.2358071802
6,1467,178625.58291493764
7,1468,166139.68821052232
8,1469,185000.77175456102
9,1470,121734.69256696045
10,1471,198184.23930544892
11,1472,98280.25942376151
12,1473,96628.3054455608
13,1474,148215.81557249543
14,1475,119318.18622909344
15,1476,355841.99173856893
16,1477,251287.00810995806
17,1478,287555.9597454707
18,1479,272847.11927753454
19,1480,486924.45894798584
20,1481,323837.7333930784
21,1482,207375.28583421916
22,1483,173902.28480321143
23,1484,166565.6115062681
24,1485,183561.47773701203
25,1486,193994.7000005434
26,1487,319515.3230054787
27,1488,239786.40290210713
28,1489,198006.0186933072
29,1490,228547.79218479662
30,1491,192602.00798225772
31,1492,91306.19651851527
32,1493,184172.17014773862
33,1494,279113.9628631626
34,1495,274915.10951358906
35,1496,235493.8670439331
36,1497,176747.990107895
37,1498,167220.35858351382
38,1499,163718.09818605686
39,1500,160607.35099420568
40,1501,180643.37577525392
41,1502,149317.26767850536
42,1503,263561.4301027689
43,1504,238606.50917551355
44,1505,226102.3685562058
45,1506,179687.72386803408
46,1507,247712.58150014683
47,1508,198523.5819117672
48,1509,157592.5375317774
49,1510,147134.92045444532
50,1511,149679.70439215936
51,1512,172144.8913049333
52,1513,139891.2226944353
53,1514,159462.14646760988
54,1515,188049.6623422434
55,1516,156405.97007764239
56,1517,164191.4760138455
57,1518,130269.36668672336
58,1519,210318.1492216191
59,1520,133703.1032000748
60,1521,132475.78154047058
61,1522,172165.40701344813
62,1523,114644.90582171545
63,1524,124030.94236614047
64,1525,124108.08475614231
65,1526,119112.69926365571
66,1527,107010.96612993289
67,1528,136206.68258315598
68,1529,148678.20102636315
69,1530,178924.50311793078
70,1531,112484.31240604649
71,1532,96280.07416967332
72,1533,154350.9335109667
73,1534,120229.78992867516
74,1535,152530.15382819335
75,1536,114537.29409565487
76,1537,68971.20666610176
77,1538,167676.29253305012
78,1539,194661.18455738772
79,1540,98246.28640939847
80,1541,140059.68842292984
81,1542,137162.34370021225
82,1543,205003.03980983366
83,1544,85949.57458925396
84,1545,110787.83344851478
85,1546,131810.7164748675
86,1547,137833.08643098257
87,1548,133880.84885260795
88,1549,117200.40384773127
89,1550,132477.86580353894
90,1551,106671.71058356119
91,1552,138727.46115901382
92,1553,152391.40763294784
93,1554,119578.22949226813
94,1555,166798.50885505398
95,1556,88534.40323263449
96,1557,103097.58075214639
97,1558,95681.95731704998
98,1559,84264.41313728281
99,1560,133481.15167390404
100,1561,136651.42141179094
101,1562,130736.01634798147
102,1563,123948.51081112523
103,1564,158598.59704393402
104,1565,143764.94713292996
105,1566,237804.54952170522
106,1567,72662.47643601242
107,1568,233154.937760909
108,1569,141353.85207782453
109,1570,138469.97855508467
110,1571,113967.66260729251
111,1572,141011.6408661426
112,1573,231290.7281442204
113,1574,122270.86947943312
114,1575,223240.10801514421
115,1576,247940.30378226322
116,1577,186173.60526774163
117,1578,137683.06570964397
118,1579,145361.37941088955
119,1580,191095.94733899063
120,1581,154683.29051512116
121,1582,127924.16421727413
122,1583,309009.067077391
123,1584,222415.46865796985
124,1585,140278.01642768088
125,1586,67552.97835114335
126,1587,103574.22628333942
127,1588,152396.26557752248
128,1589,101090.157254267
129,1590,135074.8941097953
130,1591,96816.96999281485
131,1592,120046.40580517742
