,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalPoints,TotalExtraPoints
0,2.653955534926557,RL,21.049502318976653,35.3411480527342,1,NA,4,Lvl,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.862175859375525,4,3,PConc,4,3,1,6,706.0,1,0.0,150.0,856.0,GasA,5,1,SBrkr,6.017750863163811,4.425871329644741,0.0,8.121881185962993,1.0,0.0,2,1,3,0.42932720146274933,4,2.1502964992709397,8,0.0,0,Attchd,46495515.943561636,2,2.0,548.0,3,3,3,0.0,4.303884071861664,0.0,0.0,0.0,0.0,0,0,NA,0.0,2,2008,WD,Normal,91,9
1,2.1862092266382227,RL,24.199620745398175,36.63786853082467,1,NA,4,Lvl,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,4,5,978.0,1,0.0,284.0,1262.0,GasA,5,1,SBrkr,6.322190530836481,0.0,0.0,7.7627083761707025,0.0,1.0,2,0,3,0.42932720146274933,3,1.909042783629381,8,0.5833198209674909,3,Attchd,44982166.054475985,2,2.0,460.0,3,3,3,4.5641007047067115,0.0,0.0,0.0,0.0,0.0,0,0,NA,0.0,5,2007,WD,Normal,84,11
2,2.653955534926557,RL,21.698791666898465,38.30959455827543,1,NA,3,Lvl,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.8134473905740216,4,3,PConc,4,3,2,6,486.0,1,0.0,434.0,920.0,GasA,5,1,SBrkr,6.0746017291479335,4.431456381916229,0.0,8.173504659063125,1.0,0.0,2,1,3,0.42932720146274933,4,1.909042783629381,8,0.5833198209674909,3,Attchd,46382401.798067816,2,2.0,608.0,3,3,3,0.0,3.907630418978365,0.0,0.0,0.0,0.0,0,0,NA,0.0,9,2008,WD,Normal,95,12
3,2.7116598356410746,RL,19.942967826500475,36.583968475128934,1,NA,3,Lvl,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,1,5,216.0,1,0.0,540.0,756.0,GasA,4,1,SBrkr,6.108912377855711,4.376637843661177,0.0,8.126728700269094,1.0,0.0,1,0,3,0.42932720146274933,4,2.037377477308591,8,0.5833198209674909,4,Detchd,46213035.31737047,1,3.0,642.0,3,3,3,0.0,3.716280374329024,0.7727357185345193,0.0,0.0,0.0,0,0,NA,0.0,2,2006,WD,Abnorml,92,12
4,2.653955534926557,RL,25.00270200760483,40.93795174465429,1,NA,3,Lvl,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,2.996659445333864,4,3,PConc,4,3,3,6,655.0,1,0.0,490.0,1145.0,GasA,5,1,SBrkr,6.246262050708897,4.508622723469822,0.0,8.420651663448824,1.0,0.0,2,1,4,0.42932720146274933,4,2.2510839760581214,8,0.5833198209674909,3,Attchd,46325905.68174957,2,3.0,836.0,3,3,3,4.28347260682989,4.64790025037576,0.0,0.0,0.0,0.0,0,0,NA,0.0,12,2008,WD,Normal,111,12
5,2.5832429063706392,RL,25.201310071192808,40.82134638402694,1,NA,3,Lvl,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,1,6,732.0,1,0.0,64.0,796.0,GasA,5,1,SBrkr,5.960312568547177,4.256458608375414,0.0,7.852621860588342,1.0,0.0,1,1,1,0.42932720146274933,3,1.7604703470555154,8,0.0,0,Attchd,45931569.888029024,1,2.0,480.0,3,3,3,3.206390416918213,3.5557761398423957,0.0,0.06478229840941346,0.0,0.0,0,3,Shed,0.2293235527695881,10,2009,WD,Normal,65,8
6,2.1862092266382227,RL,23.175192593863564,37.149101519580846,1,NA,4,Lvl,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,2.8490166656988913,4,3,PConc,5,3,3,6,1369.0,1,0.0,317.0,1686.0,GasA,5,1,SBrkr,6.550412048411698,0.0,0.0,8.110727998434056,1.0,0.0,2,0,3,0.42932720146274933,4,2.037377477308591,8,0.5833198209674909,4,Attchd,46552133.99056998,2,2.0,636.0,3,3,3,4.465703613563488,4.231448767621035,0.0,0.0,0.0,0.0,0,0,NA,0.0,8,2007,WD,Normal,113,13
7,2.653955534926557,RL,24.199620745398175,37.45483499962359,1,NA,3,Lvl,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,2.9114406983424694,3,3,CBlock,4,3,2,5,859.0,4,32.0,216.0,1107.0,GasA,5,1,SBrkr,6.219863807519455,4.481703022430313,0.0,8.360550080167759,1.0,0.0,2,1,3,0.42932720146274933,3,2.037377477308591,8,0.8398669730305615,3,Attchd,44815837.784123234,2,2.0,484.0,3,3,3,4.413655407443304,5.619442385058135,0.7725961572399948,0.0,0.0,0.0,0,0,Shed,0.22932355276785255,11,2009,WD,Normal,96,11
8,2.5832429063706392,RM,17.864029995515583,32.244607841234185,1,NA,4,Lvl,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,0.0,952.0,952.0,GasA,4,1,FuseF,6.157255896241924,4.374476739797121,0.0,8.16549787952866,0.0,0.0,2,0,2,0.5354911517315543,3,2.1502964992709397,7,0.8398669730305615,3,Detchd,42525294.04760143,1,2.0,468.0,2,3,3,3.7776231305057113,0.0,0.7724954584853825,0.0,0.0,0.0,0,0,NA,0.0,4,2008,WD,Abnorml,84,10
9,3.0420560615076453,RL,17.625250764354355,34.062766095296105,1,NA,4,Lvl,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,6,851.0,1,0.0,140.0,991.0,GasA,5,1,SBrkr,6.198352573820956,0.0,0.0,7.576322839041632,1.0,0.0,1,0,2,0.5354911517315543,3,1.7604703470555154,8,0.8398669730305615,3,Attchd,42956126.97626632,2,1.0,205.0,4,3,3,0.0,1.6358609696484836,0.0,0.0,0.0,0.0,0,0,NA,0.0,1,2008,WD,Normal,69,11
